ref_gyro_x (deg/s),ref_gyro_y (deg/s),ref_gyro_z (deg/s)
1.271983446066634769e-03,-3.338160579429415645e-03,1.104188250515269587e+01
1.265606712302803178e-03,-3.340695962279096980e-03,1.098390850659214024e+01
1.259258787580457310e-03,-3.343206307678643890e-03,1.092623883097701309e+01
1.252939592673857697e-03,-3.345691865973472214e-03,1.086887188082358691e+01
1.246649047672999727e-03,-3.348152885131570108e-03,1.081180606703379787e+01
1.240387072003724727e-03,-3.350589610763386218e-03,1.075503980885119759e+01
1.234153584447479331e-03,-3.353002286141607696e-03,1.069857153381719606e+01
1.227948503160741344e-03,-3.355391152220833697e-03,1.064239967772749296e+01
1.221771745694098452e-03,-3.357756447657140025e-03,1.058652268458875589e+01
1.215623229011012505e-03,-3.360098408827536225e-03,1.053093900657550641e+01
1.209502869506241200e-03,-3.362417269849309488e-03,1.047564710398727073e+01
1.203410583023951192e-03,-3.364713262599263160e-03,1.042064544520590630e+01
1.197346284875509858e-03,-3.366986616732843378e-03,1.036593250665319310e+01
1.191309889856965011e-03,-3.369237559703142960e-03,1.031150677274862026e+01
1.185301312266219325e-03,-3.371466316779815533e-03,1.025736673586741077e+01
1.179320465919902246e-03,-3.373673111067850873e-03,1.020351089629875752e+01
1.173367264169945714e-03,-3.375858163526255281e-03,1.014993776220428323e+01
1.167441619919863888e-03,-3.378021692986610085e-03,1.009664584957671885e+01
1.161543445640745350e-03,-3.380163916171519557e-03,1.004363368219878971e+01
1.155672653386961022e-03,-3.382285047712935665e-03,9.990899791602329216e+00
1.149829154811591930e-03,-3.384385300170380476e-03,9.938442717027596629e+00
1.144012861181583100e-03,-3.386464884049043226e-03,9.886261005382825928e+00
1.138223683392620110e-03,-3.388524007817761158e-03,9.834353211203959333e+00
1.132461531983744571e-03,-3.390562877926892385e-03,9.782717896614618880e+00
