accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
1.007124801660696845e+00,7.813467067286393730e-01,-9.789878043257266071e+00
9.903041014344693416e-01,7.726107660825187740e-01,-9.788038144280262642e+00
1.011509410506960416e+00,7.743288223674025250e-01,-9.801877067086408601e+00
9.934507516236330549e-01,7.727959469974475804e-01,-9.791427144162284435e+00
1.001359890657901319e+00,7.682181491623668590e-01,-9.787821197916795057e+00
1.001296461100619206e+00,7.757284900889703794e-01,-9.781288959797294069e+00
1.009591948083722990e+00,7.672748063440013588e-01,-9.787378257152687056e+00
1.000176925516239157e+00,7.656086116660625329e-01,-9.789388267811361288e+00
9.915218051165396451e-01,7.698608145700378547e-01,-9.806443059473144430e+00
9.846251142983296623e-01,7.529426971614601172e-01,-9.798034290833351534e+00
9.968821158316794051e-01,7.626281636259039098e-01,-9.778922481327734673e+00
9.975728689925154047e-01,7.712567742690191741e-01,-9.811363986764353839e+00
9.866929855769810409e-01,7.525153148368699529e-01,-9.798731360604095997e+00
9.990008994994195035e-01,7.598575746369442552e-01,-9.787328705784830163e+00
1.001290597248261749e+00,7.715326079868995990e-01,-9.785899822082287258e+00
9.983275755944361896e-01,7.601632678418057676e-01,-9.776875945933149126e+00
1.000446414945997953e+00,7.569678508006514317e-01,-9.787758915313863994e+00
1.003993569861383106e+00,7.535398072811781978e-01,-9.790069939672491728e+00
9.958675335571139930e-01,7.533804861223400984e-01,-9.798966831993372040e+00
9.893248735006786587e-01,7.568902321941129996e-01,-9.802905447641444781e+00
1.004002720507212176e+00,7.341279376193018402e-01,-9.802749278223890528e+00
1.008727510671747263e+00,7.478283181083665854e-01,-9.780335383364839430e+00
9.954740215956342508e-01,7.454203279537481297e-01,-9.799267318767988399e+00
1.001443251333061779e+00,7.443301465154454899e-01,-9.793925127297066879e+00
9.969013315346990645e-01,7.338854615260527181e-01,-9.788398798183971294e+00
1.002083311048121983e+00,7.422177369648299550e-01,-9.815860593657857791e+00
9.932530263913926794e-01,7.408587273425873976e-01,-9.799174394643445751e+00
9.820079993300803167e-01,7.315141551070183379e-01,-9.805621667086374060e+00
9.991015278838430991e-01,7.204648009887487659e-01,-9.804158373798495418e+00
9.970845021335278391e-01,7.386031193949519347e-01,-9.792857890431168499e+00
9.954818167156109787e-01,7.454411772362334876e-01,-9.784603377726742934e+00
