ref_vel_x (m/s),ref_vel_y (m/s),ref_vel_z (m/s)
1.307159012716051505e+00,2.953681654389151756e+00,0.000000000000000000e+00
1.304722852327386606e+00,2.965686813979946379e+00,0.000000000000000000e+00
1.302274598560561936e+00,2.977680451281460527e+00,0.000000000000000000e+00
1.299814457887786601e+00,2.989662585487819602e+00,0.000000000000000000e+00
1.297342634965667152e+00,3.001633236673023397e+00,0.000000000000000000e+00
1.294859332644956895e+00,3.013592425770625916e+00,0.000000000000000000e+00
1.292364751980359383e+00,3.025540174553722927e+00,0.000000000000000000e+00
1.289859092240386529e+00,3.037476505615250399e+00,0.000000000000000000e+00
1.287342550917262685e+00,3.049401442348589786e+00,0.000000000000000000e+00
1.284815323736876680e+00,3.061315008928471304e+00,0.000000000000000000e+00
1.282277604668773829e+00,3.073217230292178748e+00,0.000000000000000000e+00
1.279729585936191461e+00,3.085108132121044733e+00,0.000000000000000000e+00
1.277171458026125750e+00,3.096987740822239044e+00,0.000000000000000000e+00
1.274603409699437417e+00,3.108856083510843415e+00,0.000000000000000000e+00
1.272025628000988728e+00,3.120713187992210091e+00,0.000000000000000000e+00
1.269438298269802035e+00,3.132559082744598378e+00,0.000000000000000000e+00
1.266841604149254952e+00,3.144393796902091420e+00,0.000000000000000000e+00
1.264235727597289527e+00,3.156217360237782987e+00,0.000000000000000000e+00
1.261620848896647384e+00,3.168029803147234702e+00,0.000000000000000000e+00
1.258997146665123745e+00,3.179831156632200617e+00,0.000000000000000000e+00
1.256364797865833438e+00,3.191621452284612914e+00,0.000000000000000000e+00
1.253723977817496893e+00,3.203400722270829171e+00,0.000000000000000000e+00
1.251074860204732797e+00,3.215168999316133203e+00,0.000000000000000000e+00
1.248417617088361853e+00,3.226926316689491703e+00,0.000000000000000000e+00
1.245752418915718529e+00,3.238672708188560900e+00,0.000000000000000000e+00
1.243079434530969030e+00,3.250408208124935694e+00,0.000000000000000000e+00
1.240398831185429929e+00,3.262132851309647030e+00,0.000000000000000000e+00
1.237710774547892356e+00,3.273846673038895094e+00,0.000000000000000000e+00
1.235015428714940411e+00,3.285549709080024972e+00,0.000000000000000000e+00
1.232312956221273570e+00,3.297241995657729685e+00,0.000000000000000000e+00
1.229603518050019551e+00,3.308923569440490375e+00,0.000000000000000000e+00
1.226887273643045395e+00,3.320594467527239413e+00,0.000000000000000000e+00
1.224164380911257455e+00,3.332254727434253549e+00,0.000000000000000000e+00
1.221434996244896709e+00,3.343904387082262453e+00,0.000000000000000000e+00
1.218699274523820097e+00,3.355543484783781949e+00,0.000000000000000000e+00
1.215957369127770082e+00,3.367172059230659542e+00,0.000000000000000000e+00
1.213209431946632444e+00,3.378790149481837535e+00,0.000000000000000000e+00
1.210455613390677643e+00,3.390397794951318211e+00,0.000000000000000000e+00
1.207696062400784198e+00,3.401995035396348399e+00,0.000000000000000000e+00
1.204930926458646301e+00,3.413581910905796324e+00,0.000000000000000000e+00
1.202160351596963439e+00,3.425158461888737627e+00,0.000000000000000000e+00
1.199384482409605379e+00,3.436724729063239447e+00,0.000000000000000000e+00
1.196603462061757384e+00,3.448280753445341240e+00,0.000000000000000000e+00
1.193817432300044334e+00,3.459826576338224324e+00,0.000000000000000000e+00
1.191026533462627324e+00,3.471362239321581722e+00,0.000000000000000000e+00
