gps_lat (deg),gps_lon (deg),gps_alt (m),gps_vN (m/s),gps_vE (m/s),gps_vD (m/s)
3.200000710384933456e+01,1.200004038061931624e+02,-7.200516048331441432e+00,7.551395484193385021e-02,4.004043152183353271e+00,1.455604204652307179e-02
3.200011082461325174e+01,1.200005250710913600e+02,1.318555627636800232e+00,-1.175906919551493110e-03,4.051987594166355677e+00,-6.852218962635157895e-02
3.199993738807843258e+01,1.200005236064299794e+02,-1.182782459366754502e+01,-2.468576010353910194e-02,4.025280520061475187e+00,-2.148937354720385079e-02
3.200017075754647067e+01,1.200005563541794515e+02,-5.477194336832226895e+00,-6.626459605969534095e-02,3.971092775353831872e+00,7.963207534130337106e-03
3.200009530699563243e+01,1.200005947239641841e+02,5.119831990010682787e+00,7.517309875370926583e-03,4.034554261201444447e+00,-8.446227579759105902e-03
3.200012469235492318e+01,1.200006867045429999e+02,-4.465694564531681010e+00,3.412631768449221614e-02,3.959959154157111971e+00,1.506316819502491293e-02
3.200008560311870554e+01,1.200005239635674599e+02,-3.423002026250227647e+00,-6.088562875765398535e-02,4.037707990782524625e+00,4.966168508796925396e-02
3.199999121466745677e+01,1.200006573225889497e+02,-3.683588812168666848e+00,1.248819712382630565e-01,3.961769840991280045e+00,-4.927286299653460544e-02
3.200003207768397573e+01,1.200006549200687829e+02,1.892782305045745739e+00,-2.618361932050535315e-03,4.017506702514059391e+00,-5.956775184581143689e-02
3.200002483440140111e+01,1.200005957958436653e+02,-5.058703598914786603e+00,4.180480203273564260e-02,4.066744236022197256e+00,1.040803069987654254e-02
3.200008253528522317e+01,1.200005198485284410e+02,4.483320115112571003e+00,4.658143161754726286e-02,4.036962342600658893e+00,-5.542195909006475407e-02
3.200001732335610427e+01,1.200006414623381090e+02,6.715056420625344025e+00,-7.559298678613465827e-02,3.959238446917372922e+00,-9.947696150731877296e-02
3.200012739440485632e+01,1.200006182309321048e+02,8.177535661792040500e+00,-9.034490227851721400e-02,4.077067510310506293e+00,-2.291733489538904517e-02
3.200005789052775640e+01,1.200005940433764096e+02,-4.777485811637403046e+00,2.437816117405744096e-02,4.022183848320921129e+00,-8.731570974612250235e-02
3.199996581275810570e+01,1.200006442979428840e+02,1.152321254551945895e+00,-1.916724850137959887e-02,4.010655510215901387e+00,9.095194138992876431e-02
3.200005339232389190e+01,1.200006454081553073e+02,2.661564615098526154e+00,1.631234852641920419e-02,3.987760282395719003e+00,-5.527461382465381767e-02
3.200012843704471521e+01,1.200006310999540062e+02,-2.815891198035202159e+00,-1.563292368136023555e-02,3.943150071188227468e+00,6.921199997902795220e-02
3.200012395023266265e+01,1.200006011951959835e+02,-1.309549840208342530e+00,-1.432629121703829674e-02,3.988311915349159076e+00,-1.198489545013059765e-01
3.200011025485507332e+01,1.200006063133223364e+02,1.345035101387924259e+00,1.842644704494812800e-03,3.989298153648064282e+00,4.523768101194597380e-02
3.199996373896224000e+01,1.200006815611455551e+02,-2.356744795296385475e-01,-7.123374711245918089e-03,4.029844064849659624e+00,1.271662965907165155e-02
3.200001036081191330e+01,1.200005563782637950e+02,4.514151613438939670e+00,6.685330153051192992e-02,4.011345882085001868e+00,1.119170390282213379e-02
3.200010872786783267e+01,1.200007073640588260e+02,6.960876006340051880e+00,2.115752714293751835e-02,4.070041224412472403e+00,-3.019934761840742041e-02
